action,timestamp,notes
start case,7/11/2024 13:16:07,
standard search,7/11/2024 13:16:21,
standard search,7/11/2024 13:19:31,
new variant review,7/11/2024 13:19:59,
click-out from seqr,7/11/2024 13:20:25,
publication search,7/11/2024 13:20:37,
publication search,7/11/2024 13:21:01,
click-back into seqr,7/11/2024 13:21:11,
click-out from seqr,7/11/2024 13:21:15,
click-back into seqr,7/11/2024 13:21:35,
click-out from seqr,7/11/2024 13:21:41,
click-back into seqr,7/11/2024 13:22:43,
click-out from seqr,7/11/2024 13:22:45,
click-back into seqr,7/11/2024 13:23:07,
click-out from seqr,7/11/2024 13:23:09,
click-back into seqr,7/11/2024 13:23:33,
click-out from seqr,7/11/2024 13:23:39,
click-back into seqr,7/11/2024 13:24:09,
click-out from seqr,7/11/2024 13:24:13,
click-back into seqr,7/11/2024 13:24:59,
click-out from seqr,7/11/2024 13:25:01,
click-back into seqr,7/11/2024 13:25:47,
click-out from seqr,7/11/2024 13:26:25,
click-back into seqr,7/11/2024 13:26:59,
move on from variant,7/11/2024 13:27:01,
standard search,7/11/2024 13:27:07,
standard search,7/11/2024 13:29:53,
new variant review,7/11/2024 13:30:29,
click-out from seqr,7/11/2024 13:30:29,
click-back into seqr,7/11/2024 13:30:47,
click-out from seqr,7/11/2024 13:30:59,
click-back into seqr,7/11/2024 13:31:03,
publication search,7/11/2024 13:31:05,
publication search,7/11/2024 13:31:23,
publication search,7/11/2024 13:31:37,
click-out from seqr,7/11/2024 13:31:53,
click-back into seqr,7/11/2024 13:32:21,
click-out from seqr,7/11/2024 13:32:23,
click-back into seqr,7/11/2024 13:32:39,
click-out from seqr,7/11/2024 13:32:45,
click-back into seqr,7/11/2024 13:33:35,
click-out from seqr,7/11/2024 13:34:09,
click-back into seqr,7/11/2024 13:34:33,
move on from variant,7/11/2024 13:34:39,
standard search,7/11/2024 13:34:45,
new variant review,7/11/2024 13:36:53,
publication search,7/11/2024 13:37:03,
click-out from seqr,7/11/2024 13:37:25,
click-back into seqr,7/11/2024 13:37:31,
click-out from seqr,7/11/2024 13:37:31,
click-back into seqr,7/11/2024 13:38:15,
move on from variant,7/11/2024 13:38:21,
custom search,7/11/2024 13:41:21,VS0000137_
review saved variant,7/11/2024 13:43:55,
click-out from seqr,7/11/2024 13:43:59,
click-back into seqr,7/11/2024 13:44:01,
move on from variant,7/11/2024 13:44:33,
start case,7/11/2024 13:44:49,
standard search,7/11/2024 13:45:15,
standard search,7/11/2024 13:45:39,
new variant review,7/11/2024 13:47:09,
click-out from seqr,7/11/2024 13:47:11,
click-back into seqr,7/11/2024 13:47:37,
move on from variant,7/11/2024 13:48:41,
new variant review,7/11/2024 13:49:29,
publication search,7/11/2024 13:49:51,
click-out from seqr,7/11/2024 13:50:47,
click-back into seqr,7/11/2024 13:50:55,
click-out from seqr,7/11/2024 13:50:57,
click-back into seqr,7/11/2024 13:51:15,
move on from variant,7/11/2024 13:51:23,
standard search,7/11/2024 13:53:25,
standard search,7/11/2024 13:55:07,
standard search,7/11/2024 13:55:55,
review saved variant,7/11/2024 14:00:35,
click-out from seqr,7/11/2024 14:01:03,
click-back into seqr,7/11/2024 14:01:17,
move on from variant,7/11/2024 14:01:39,
start case,7/11/2024 14:01:51,
standard search,7/11/2024 14:02:17,
new variant review,7/11/2024 14:03:07,
click-out from seqr,7/11/2024 14:03:17,
click-back into seqr,7/11/2024 14:03:23,
publication search,7/11/2024 14:03:25,
publication reading,7/11/2024 14:04:11,PMID:28600779
move on from variant,7/11/2024 14:05:41,
standard search,7/11/2024 14:05:53,
standard search,7/11/2024 14:07:17,
new variant review,7/11/2024 14:09:15,
click-out from seqr,7/11/2024 14:09:15,
click-back into seqr,7/11/2024 14:09:29,
move on from variant,7/11/2024 14:09:35,
new variant review,7/11/2024 14:10:03,
click-out from seqr,7/11/2024 14:10:13,
click-back into seqr,7/11/2024 14:10:27,
click-out from seqr,7/11/2024 14:10:41,
click-back into seqr,7/11/2024 14:10:57,
move on from variant,7/11/2024 14:11:09,
new variant review,7/11/2024 14:12:45,
publication search,7/11/2024 14:12:53,
publication search,7/11/2024 14:13:23,
publication reading,7/11/2024 14:13:27,PMID:35122698
move on from variant,7/11/2024 14:14:01,
review saved variant,7/11/2024 14:14:37,
click-out from seqr,7/11/2024 14:14:37,
click-back into seqr,7/11/2024 14:14:57,
publication reading,7/11/2024 14:15:33,PMID:28600779
move on from variant,7/11/2024 14:15:47,
start case,7/11/2024 14:16:33,
standard search,7/11/2024 14:16:49,
new variant review,7/11/2024 14:17:59,
publication search,7/11/2024 14:18:03,
click-out from seqr,7/11/2024 14:18:29,
click-back into seqr,7/11/2024 14:18:47,
click-out from seqr,7/11/2024 14:18:49,
click-back into seqr,7/11/2024 14:19:01,
move on from variant,7/11/2024 14:19:05,
new variant review,7/11/2024 14:19:15,
publication search,7/11/2024 14:19:21,
