action,timestamp,notes
custom search,7/15/2024 14:52:54,VS0000154_
new variant review,7/15/2024 14:53:08,
click-out from seqr,7/15/2024 14:53:11,
click-back into seqr,7/15/2024 14:53:24,
move on from variant,7/15/2024 14:53:33,
custom search,7/15/2024 14:53:39,VS0000155_
custom search,7/15/2024 14:54:26,VS0000156_
custom search,7/15/2024 14:54:37,VS0000157_
custom search,7/15/2024 14:56:20,VS0000158_
custom search,7/15/2024 14:56:26,VS0000159_
custom search,7/15/2024 14:56:38,VS0000160_
custom search,7/15/2024 14:56:55,VS0000161_
custom search,7/15/2024 14:57:02,VS0000162_
custom search,7/15/2024 14:57:19,VS0000163_
custom search,7/15/2024 14:57:57,VS0000164_
new variant review,7/15/2024 14:58:15,
click-out from seqr,7/15/2024 14:58:16,
click-back into seqr,7/15/2024 14:58:26,
move on from variant,7/15/2024 14:58:28,
custom search,7/15/2024 14:58:48,VS0000165_
custom search,7/15/2024 14:58:53,VS0000166_
custom search,7/15/2024 14:58:59,VS0000167_
new variant review,7/15/2024 14:59:29,
move on from variant,7/15/2024 14:59:33,
new variant review,7/15/2024 14:59:41,
move on from variant,7/15/2024 14:59:46,
custom search,7/15/2024 15:01:16,VS0000168_
custom search,7/15/2024 15:01:25,VS0000169_
custom search,7/15/2024 15:01:54,VS0000170_
custom search,7/15/2024 15:02:40,VS0000171_
custom search,7/15/2024 15:02:55,VS0000172_
custom search,7/15/2024 15:03:03,VS0000173_
start case,7/15/2024 15:05:12,
standard search,7/15/2024 15:05:38,
standard search,7/15/2024 15:05:54,
new variant review,7/15/2024 15:06:24,
click-out from seqr,7/15/2024 15:06:27,
click-back into seqr,7/15/2024 15:06:30,
move on from variant,7/15/2024 15:06:32,
new variant review,7/15/2024 15:06:37,
click-out from seqr,7/15/2024 15:06:40,
click-back into seqr,7/15/2024 15:06:44,
move on from variant,7/15/2024 15:06:46,
new variant review,7/15/2024 15:06:56,
click-out from seqr,7/15/2024 15:07:00,
click-back into seqr,7/15/2024 15:07:08,
move on from variant,7/15/2024 15:07:26,
new variant review,7/15/2024 15:07:46,
click-out from seqr,7/15/2024 15:07:52,
click-back into seqr,7/15/2024 15:07:55,
click-out from seqr,7/15/2024 15:08:04,
click-back into seqr,7/15/2024 15:08:30,
move on from variant,7/15/2024 15:08:35,
standard search,7/15/2024 15:09:19,
new variant review,7/15/2024 15:09:38,
move on from variant,7/15/2024 15:09:43,
standard search,7/15/2024 15:09:49,
new variant review,7/15/2024 15:10:10,
click-out from seqr,7/15/2024 15:10:17,
click-back into seqr,7/15/2024 15:10:21,
move on from variant,7/15/2024 15:10:26,
custom search,7/15/2024 15:10:49,VS0000174_
custom search,7/15/2024 15:11:35,VS0000175_
custom search,7/15/2024 15:11:53,VS0000176_
custom search,7/15/2024 15:12:11,VS0000177_
new variant review,7/15/2024 15:12:40,
click-out from seqr,7/15/2024 15:12:46,
click-back into seqr,7/15/2024 15:12:48,
click-out from seqr,7/15/2024 15:12:55,
click-back into seqr,7/15/2024 15:13:18,
move on from variant,7/15/2024 15:13:29,
custom search,7/15/2024 15:13:42,VS0000178_
custom search,7/15/2024 15:14:37,VS0000179_
custom search,7/15/2024 15:14:42,VS0000180_
new variant review,7/15/2024 15:15:18,
click-out from seqr,7/15/2024 15:15:32,
