action,timestamp,notes
start case,7/15/2024 14:13:25,
custom search,7/15/2024 14:13:56,VS0000144_
standard search,7/15/2024 14:13:25,
standard search,7/15/2024 14:14:15,
new variant review,7/15/2024 14:16:32,
click-out from seqr,7/15/2024 14:16:46,
click-back into seqr,7/15/2024 14:16:55,
click-out from seqr,7/15/2024 14:17:22,
click-back into seqr,7/15/2024 14:17:25,
publication search,7/15/2024 14:17:40,
publication reading,7/15/2024 14:18:05,PMID:34582790
move on from variant,7/15/2024 14:18:50,
standard search,7/15/2024 14:19:06,
new variant review,7/15/2024 14:21:10,
move on from variant,7/15/2024 14:21:10,
standard search,7/15/2024 14:21:41,
new variant review,7/15/2024 14:22:12,
click-out from seqr,7/15/2024 14:22:37,
click-back into seqr,7/15/2024 14:22:42,
move on from variant,7/15/2024 14:22:49,
new variant review,7/15/2024 14:22:56,
click-out from seqr,7/15/2024 14:23:14,
click-back into seqr,7/15/2024 14:23:34,
publication search,7/15/2024 14:23:34,
move on from variant,7/15/2024 14:23:50,
new variant review,7/15/2024 14:23:58,
publication search,7/15/2024 14:24:02,
move on from variant,7/15/2024 14:24:16,
new variant review,7/15/2024 14:24:36,
click-out from seqr,7/15/2024 14:24:41,
click-back into seqr,7/15/2024 14:24:58,
move on from variant,7/15/2024 14:25:02,
new variant review,7/15/2024 14:26:20,
move on from variant,7/15/2024 14:26:22,
new variant review,7/15/2024 14:26:47,
move on from variant,7/15/2024 14:26:48,
standard search,7/15/2024 14:27:24,
review saved variant,7/15/2024 14:30:00,
publication search,7/15/2024 14:30:06,
click-out from seqr,7/15/2024 14:30:13,
click-back into seqr,7/15/2024 14:30:31,
click-out from seqr,7/15/2024 14:30:48,
click-back into seqr,7/15/2024 14:31:09,
move on from variant,7/15/2024 14:31:16,
review saved variant,7/15/2024 14:32:06,
publication search,7/15/2024 14:32:13,
publication search,7/15/2024 14:32:47,
click-out from seqr,7/15/2024 14:33:28,
click-back into seqr,7/15/2024 14:35:06,
move on from variant,7/15/2024 14:35:12,
review saved variant,7/15/2024 14:35:16,
click-out from seqr,7/15/2024 14:35:20,
click-back into seqr,7/15/2024 14:35:40,
move on from variant,7/15/2024 14:35:46,
review saved variant,7/15/2024 14:35:47,
click-out from seqr,7/15/2024 14:35:54,
click-back into seqr,7/15/2024 14:36:15,
move on from variant,7/15/2024 14:36:18,
custom search,7/15/2024 14:39:05,VS0000145_
custom search,7/15/2024 14:39:13,VS0000146_
custom search,7/15/2024 14:39:19,VS0000147_
new variant review,7/15/2024 14:39:45,
click-out from seqr,7/15/2024 14:39:46,
click-back into seqr,7/15/2024 14:39:52,
click-out from seqr,7/15/2024 14:39:52,
click-back into seqr,7/15/2024 14:40:02,
click-out from seqr,7/15/2024 14:40:11,
click-back into seqr,7/15/2024 14:40:16,
move on from variant,7/15/2024 14:40:22,
custom search,7/15/2024 14:40:24,VS0000148_
custom search,7/15/2024 14:40:42,VS0000149_
custom search,7/15/2024 14:40:55,VS0000150_
custom search,7/15/2024 14:41:23,VS0000151_
new variant review,7/15/2024 14:41:44,
click-out from seqr,7/15/2024 14:42:02,
click-back into seqr,7/15/2024 14:42:16,
move on from variant,7/15/2024 14:42:37,
review saved variant,7/15/2024 14:43:28,
click-out from seqr,7/15/2024 14:43:54,
click-back into seqr,7/15/2024 14:43:56,
move on from variant,7/15/2024 14:44:46,
start case,7/15/2024 14:45:12,
standard search,7/15/2024 14:45:48,
new variant review,7/15/2024 14:46:12,
publication search,7/15/2024 14:46:26,
click-out from seqr,7/15/2024 14:46:32,
click-back into seqr,7/15/2024 14:46:39,
publication search,7/15/2024 14:47:10,
publication reading,7/15/2024 14:47:40,PMID:31616255
move on from variant,7/15/2024 14:48:20,
standard search,7/15/2024 14:48:22,
new variant review,7/15/2024 14:48:54,
move on from variant,7/15/2024 14:48:56,
new variant review,7/15/2024 14:49:18,
click-out from seqr,7/15/2024 14:49:36,
click-back into seqr,7/15/2024 14:49:42,
publication search,7/15/2024 14:49:46,
click-out from seqr,7/15/2024 14:49:58,
click-back into seqr,7/15/2024 14:50:02,
move on from variant,7/15/2024 14:50:09,
standard search,7/15/2024 14:50:40,
new variant review,7/15/2024 14:51:57,
click-out from seqr,7/15/2024 14:52:03,
click-back into seqr,7/15/2024 14:52:14,
move on from variant,7/15/2024 14:52:19,
custom search,7/15/2024 14:52:26,VS0000152_
custom search,7/15/2024 14:52:40,VS0000153_
